[Cx0]
21
Mach	CX0
2.71	30469.56
2.72	30568.29
2.73	30666.94
2.74	30765.50
2.75	30863.97
2.76	30962.36
2.77	31060.66
2.78	31158.87
2.79	31257.00
2.80	31355.04
2.81	31453.00
2.82	31550.87
2.83	31648.66
2.84	31746.35
2.85	31843.97
2.86	31941.50
2.87	32038.94
2.88	32136.30
2.89	32233.57
2.90	32330.76
2.91	32427.87
2.92	32524.89
2.93	32621.83
2.94	32718.68
2.95	32815.45
2.96	32912.13
2.97	33008.73
2.98	33105.25
2.99	33201.68
3.00	33298.03
3.01	33394.30
3.02	33490.48
3.03	33586.59
3.04	33682.60
3.05	33778.54
3.06	33874.39
3.07	33970.16
3.08	34065.85
3.09	34161.45
3.10	34256.98
3.11	34352.42
3.12	34447.78
3.13	34543.06
3.14	34638.25
3.15	34733.37
3.16	34828.40
3.17	34923.35
3.18	35018.22
3.19	35113.01
3.20	35207.72
3.21	35302.35
3.22	35396.90
3.23	35491.36
3.24	35585.75
3.25	35680.06
3.26	35774.28
3.27	35868.43
3.28	35962.50
3.29	36056.48
3.30	36150.39
3.31	36244.22
